id,name,tagline,description,,,,
kb-001,Nebula 65,Wireless freedom. Audiophile sound.,The Nebula 65 is a masterpiece of engineering. Featuring a gasket-mounted design, hot-swappable PCB, and triple-mode connectivity, it delivers a typing experience that sounds as good as it feels.,
r1,Titan TKL Pro,Tournament-ready performance with optical switches.,Built for esports, the Titan TKL Pro delivers zero-latency keystrokes with our proprietary optical switches. The aerospace-grade aluminum top plate ensures durability during intense gaming sessions.,,,
r3,Spectre 96,No compromises. 96% Layout power.,For those who need the numpad without the bulk. The Spectre 96 is a heavy-duty workstation keyboard with silent linear switches, perfect for office use by day and gaming by night.,,,
kb-004,Lumina 75,The perfect balance of function and form.,The Lumina 75 brings the function row back in a compact form factor. Featuring a programmable rotary knob and a flex-cut PC plate, it offers a bouncy, resonant sound profile that enthusiasts love.,,
kb-005,Aula 60he,Ultra-portable, ultra-efficient.,The Nano 40 is designed for the true minimalist. With a 40% orthogonal layout, every key is within one unit of your home row. Fully programmable layers mean you never sacrifice functionality for size.,,
kb-006,Aurora 60,Compact powerhouse.,The Aurora 60 delivers a perfect balance of compact size and full functionality. With a solid aluminum case and south-facing RGB, its perfect for enthusiasts who want a clean, minimalist setup.,,
kb-007,Eclipse 80%,All the keys you need.,The Eclipse 80% brings back the function row while keeping your desk clean. Perfect for productivity and gaming with dedicated media controls.,,,,
kb-008,F108 Pro,Full-size powerhouse for office and productivity.,The F108 Pro delivers a complete 100% layout with a numpad, function row, and dedicated media controls. Perfect for Excel, accounting, and any workflow that demands every key at your fingertips.
m-001,Phantom Air,Defy gravity with 49g ultra-lightweight design.,Engineered for speed and precision. The Phantom Air features a magnesium alloy honeycomb shell, PixArt PAW3395 sensor, and lag-free wireless connectivity.,,
m-002,Basilisk Ergo,All-day comfort for marathon sessions.,The Basilisk Ergo is sculpted to fit your hand perfectly. With 12 programmable buttons and a hyper-scroll tilt wheel, it gives you complete control over your gameplay.,,,
m-003,Viper Mini,Small size, big performance.,The Viper Mini is perfect for claw and fingertip grip users. At just 61g, it offers lightning-fast movements without sacrificing build quality.,,
m-004,DeathAdder V3,The legend, evolved.,The DeathAdder V3 brings the iconic ergonomic shape into the modern era with a 59g wireless design and the latest optical switches.,,,
